pitcher_id,pitch_type,n_pitches,velo,ivb,hb,extension,release_height,release_side,spin_rate,spin_axis_sin,spin_axis_cos,throws,usage_pct,year,pitcher_name,level
453286,FF,20,93.315,16.722,-9.426,6.17,5.86,-2.994,2379.0,-0.5895250223305654,-0.8054217613978765,R,0.625,2026,Max Scherzer,AAA
453286,SL,12,86.36666666666667,5.239999999999999,3.08,6.191666666666666,5.724166666666666,-3.1183333333333336,2374.75,-0.04300559587332458,-0.8420997117541282,R,0.375,2026,Max Scherzer,AAA
471911,CH,20,84.885,1.866,-7.836,6.6,5.762,-2.304,1282.05,-0.8285199939960904,-0.5525386339215312,R,0.19230769230769232,2026,Carlos Carrasco,AAA
471911,FC,13,89.23846153846154,11.132307692307693,-0.4153846153846154,6.646153846153846,5.78923076923077,-2.210769230769231,2239.4615384615386,-0.5849263260583076,-0.8026112223965817,R,0.125,2026,Carlos Carrasco,AAA
471911,FF,12,90.71666666666665,11.549999999999999,-5.3,6.55,5.8374999999999995,-2.2983333333333333,2230.25,-0.5677914865980053,-0.7372700573323812,R,0.11538461538461539,2026,Carlos Carrasco,AAA
471911,SI,33,89.89393939393939,5.429090909090909,-13.298181818181819,6.63939393939394,5.797272727272727,-2.2163636363636363,2123.090909090909,-0.6796501670162888,-0.728685254677841,R,0.3173076923076923,2026,Carlos Carrasco,AAA
471911,SL,26,84.83076923076922,4.5600000000000005,2.4276923076923076,6.584615384615384,5.7869230769230775,-2.3003846153846155,2310.269230769231,-0.17705076287465676,-0.7484533536926696,R,0.25,2026,Carlos Carrasco,AAA
518397,SI,15,89.4,1.9840000000000002,-14.392,6.239999999999999,5.6193333333333335,-1.428,2087.266666666667,0.7766513936078342,-0.6274646831846724,L,1.0,2026,Scott Alexander,AAA
518489,FC,20,88.275,9.684000000000001,3.318,6.815,5.7285,-1.5125,2270.35,-0.15828406792143004,-0.9832486007414488,R,0.24096385542168675,2026,Ryan Brasier,AAA
518489,FF,28,93.62142857142858,15.081428571428571,-7.384285714285714,6.721428571428571,5.5925,-1.7785714285714285,2228.8571428571427,-0.5922917933019224,-0.8025324054254517,R,0.3373493975903614,2026,Ryan Brasier,AAA
518489,SI,10,92.82000000000001,11.592,-13.536000000000001,6.74,5.608,-1.593,2128.0,-0.623395275781198,-0.7731131087229246,R,0.12048192771084337,2026,Ryan Brasier,AAA
518489,SL,25,85.39200000000001,3.6240000000000006,4.0896,6.876,5.6948,-1.422,2293.88,0.4985784779697708,-0.6907783608522289,R,0.30120481927710846,2026,Ryan Brasier,AAA
519043,CH,11,83.42727272727274,8.967272727272727,-15.73090909090909,6.1,6.3554545454545455,-1.1163636363636362,2063.181818181818,0.9077420326221751,-0.4110690760591726,L,0.21568627450980393,2026,Matt Moore,AAA
519043,FF,21,92.97619047619048,16.89714285714286,-8.954285714285714,6.071428571428571,6.233333333333333,-1.29,2353.095238095238,0.6003086526379707,-0.7965089806856549,L,0.4117647058823529,2026,Matt Moore,AAA
519043,KC,19,80.80526315789473,-10.054736842105264,6.877894736842106,6.057894736842105,6.372105263157895,-1.108421052631579,2341.842105263158,-0.5555012344908183,0.8192607536863937,L,0.37254901960784315,2026,Matt Moore,AAA
519141,FF,18,92.84444444444445,14.879999999999999,-2.6933333333333334,5.794444444444444,6.147777777777778,-2.0411111111111113,2519.6111111111113,0.3470530376874646,-0.9365647594108961,L,1.0,2026,Drew Pomeranz,AAA
519326,FF,13,93.11538461538461,13.181538461538462,-8.178461538461537,5.846153846153846,5.890769230769231,-2.8176923076923077,2174.5384615384614,-0.7741667800562028,-0.6303570464516952,R,1.0,2026,Hunter Strickland,AAA
529017,FC,56,85.72678571428571,7.849285714285714,3.3299999999999996,6.176785714285714,5.248928571428571,-1.5989285714285713,2462.8571428571427,-0.12760092560743505,-0.9439737890456569,R,0.1723076923076923,2026,Alexander Cornielle,AAA
529017,FF,125,91.7568,15.436800000000002,-6.59328,6.192,5.38952,-1.344,2427.08,-0.5695600678324558,-0.8185227330397958,R,0.38461538461538464,2026,Alexander Cornielle,AAA
529017,SI,64,91.7265625,9.615,-15.635625,6.215625,5.335625,-1.16921875,2387.640625,-0.6089319255437915,-0.7891238159261883,R,0.19692307692307692,2026,Alexander Cornielle,AAA
529017,ST,80,80.45750000000001,2.0115,14.500499999999999,6.11875,5.2945,-1.295125,2552.9125,0.933718855311265,0.25619921778204996,R,0.24615384615384617,2026,Alexander Cornielle,AAA
534910,SI,44,93.57045454545455,3.4690909090909092,-18.711818181818185,6.654545454545455,5.412954545454546,-2.4963636363636366,2259.6136363636365,-0.9383216453871636,-0.3326129188788602,R,0.6470588235294118,2026,Jesse Hahn,AAA
534910,ST,24,81.34583333333333,-1.21,19.23,6.454166666666667,5.4941666666666675,-2.5837499999999998,2906.125,0.766665324292697,0.2701753467388838,R,0.35294117647058826,2026,Jesse Hahn,AAA
541640,FC,39,88.26410256410257,7.883076923076923,1.24,6.166666666666667,5.322820512820513,-1.8428205128205128,2258.4358974358975,-0.3664086577425069,-0.9146367377194574,R,0.65,2026,Erasmo Ramírez,AAA
541640,SI,21,90.42380952380952,7.051428571428571,-11.965714285714286,6.133333333333334,5.246190476190476,-1.8199999999999998,2181.8571428571427,-0.6226399737857635,-0.7768939141584745,R,0.35,2026,Erasmo Ramírez,AAA
542194,EP,26,47.46153846153846,15.115384615384615,-3.009230769230769,5.18,6.773846153846154,-1.6019230769230768,1217.1176470588234,-0.5751650151909106,-0.6533620476565849,R,1.0,2026,Christian Bethancourt,AAA
543238,CH,24,85.58749999999999,13.25,-7.704999999999999,5.804166666666667,5.84875,-0.7000000000000001,1586.4166666666667,0.25956453735055474,-0.960355996936984,L,0.16551724137931034,2026,Anthony Gose,AAA
543238,FF,88,94.46477272727272,17.364545454545453,-3.0,5.718181818181818,5.874090909090909,-0.7906818181818182,2345.2413793103447,0.31421172928765106,-0.9462194000240958,L,0.6068965517241379,2026,Anthony Gose,AAA
543238,SL,33,84.13333333333334,-1.1927272727272726,3.72,5.630303030303031,5.890606060606061,-0.6993939393939395,2228.6363636363635,-0.8497023853713463,-0.17263208364419655,L,0.22758620689655173,2026,Anthony Gose,AAA
544150,CH,15,84.71333333333334,8.48,-17.072,6.473333333333333,6.251333333333333,-1.6993333333333334,2064.733333333333,-0.8088667791783627,-0.5819182534549334,R,0.35714285714285715,2026,Albert Suárez,AAA
544150,FF,27,93.89259259259259,17.528888888888886,-7.782222222222223,6.359259259259259,6.656666666666666,-1.357037037037037,2396.5185185185187,-0.45802736273301686,-0.7978009689014555,R,0.6428571428571429,2026,Albert Suárez,AAA
547184,ST,15,83.55333333333333,-0.608,13.568000000000001,5.72,5.86,-1.912,2706.6,0.9085883174717319,0.4095934074687397,R,1.0,2026,Michael Kelly,AAA
554430,FF,13,93.33846153846154,14.907692307692308,-12.655384615384616,7.176923076923076,5.346153846153846,-2.083076923076923,2323.153846153846,-0.7635307126742933,-0.6441801370213409,R,1.0,2026,Zack Wheeler,AAA
570560,EP,17,49.747058823529414,11.809411764705882,-1.6447058823529412,4.411764705882353,5.99235294117647,-2.9305882352941177,1165.0,-0.6184360943689147,-0.6596698679476829,R,1.0,2026,Yolmer Sánchez,AAA
571510,CH,14,78.41428571428571,4.242857142857143,-15.454285714285716,6.078571428571428,5.373571428571429,-2.4564285714285714,1812.357142857143,0.9110423641327089,-0.4110750876695555,L,0.2916666666666667,2026,Matthew Boyd,AAA
571510,FF,34,93.12058823529412,11.83764705882353,-14.24470588235294,6.220588235294118,5.522352941176471,-2.2479411764705883,2325.323529411765,0.8159723308527981,-0.5744884717164752,L,0.7083333333333334,2026,Matthew Boyd,AAA
571946,FF,27,95.68518518518519,18.09777777777778,-8.253333333333334,6.9,5.634814814814814,-1.3888888888888888,2376.6666666666665,-0.46318614892490434,-0.8850324915797865,R,1.0,2026,Shelby Miller,AAA
572143,FF,25,93.98,18.2592,-4.1808,6.763999999999999,5.903200000000001,-2.1064,2401.4,-0.4005761964819728,-0.9133967098061391,R,1.0,2026,Burch Smith,AAA
572971,CH,42,80.0952380952381,4.965714285714286,-12.505714285714285,6.035714285714286,5.843571428571429,-1.2995238095238095,1672.3809523809523,0.8238359439042634,-0.5621959891671866,L,0.28378378378378377,2026,Dallas Keuchel,AAA
572971,FC,17,84.88235294117646,5.668235294117647,2.2870588235294114,5.882352941176471,5.831764705882353,-1.428235294117647,2320.294117647059,0.16113983628644546,-0.8479340677047208,L,0.11486486486486487,2026,Dallas Keuchel,AAA
572971,SI,54,87.41296296296296,5.5488888888888885,-12.26,5.977777777777778,5.878148148148148,-1.4374074074074075,2122.314814814815,0.7072775119376986,-0.7031961711388042,L,0.36486486486486486,2026,Dallas Keuchel,AAA
572971,SL,35,77.43714285714286,-2.825142857142857,10.045714285714286,5.925714285714286,5.702,-1.5091428571428571,2444.114285714286,-0.6170230895869907,0.697920618798006,L,0.23648648648648649,2026,Dallas Keuchel,AAA
573009,CH,17,78.75294117647059,-1.778823529411765,-15.938823529411764,6.247058823529412,5.28,-3.2282352941176473,1548.9411764705883,0.9699805437665359,0.2376356193653061,L,0.29310344827586204,2026,Joe Mantiply,AAA
573009,CU,22,78.38636363636364,-3.4036363636363633,7.538181818181818,6.219047619047619,5.36,-3.2813636363636363,2358.590909090909,-0.28320134456386215,0.9337422468920727,L,0.3793103448275862,2026,Joe Mantiply,AAA
573009,SI,19,87.41052631578947,1.7684210526315791,-18.79578947368421,6.221052631578948,5.322631578947369,-3.2505263157894735,2093.7368421052633,0.9463271132810206,-0.31906102121224417,L,0.3275862068965517,2026,Joe Mantiply,AAA
592155,FC,31,86.6774193548387,3.6774193548387095,3.5806451612903225,6.390322580645161,5.6890322580645165,-2.6229032258064517,2045.6451612903227,-0.1300884286707804,-0.7766556282182898,L,0.5636363636363636,2026,Cam Booser,AAA
592155,FF,10,94.76,16.02,-8.268,6.5,5.868,-2.379,1968.5,0.5741529457998462,-0.8169085681395967,L,0.18181818181818182,2026,Cam Booser,AAA
592155,ST,14,80.22857142857143,-4.482857142857143,14.151428571428571,6.371428571428572,5.592142857142856,-2.6957142857142857,2057.285714285714,-0.7448242401555938,0.6344209105629047,L,0.2545454545454545,2026,Cam Booser,AAA
592288,CH,40,81.00750000000001,2.991,-14.444999999999999,5.8100000000000005,6.0017499999999995,-2.481,1742.925,0.91089240495754,-0.36093074568359046,L,0.24242424242424243,2026,Kent Emanuel,AAA
